"","Package","LibPath","Version","Priority","Depends","Imports","LinkingTo","Suggests","Enhances","License","License_is_FOSS","License_restricts_use","OS_type","MD5sum","NeedsCompilation","Built"
"ggfittext","ggfittext","C:/Users/Carolina/AppData/Local/R/win-library/4.2","0.10.0",NA,"R (>= 3.6)","grid (>= 3.1), stringi (>= 1.1.2), shades (>= 1.3.1), gridtext
(>= 0.1.4), ggplot2 (>= 2.2.1)",NA,"knitr, rmarkdown, testthat (>= 3.0.0), vdiffr, spelling",NA,"GPL-2",NA,NA,NA,NA,"no","4.2.3"
"ggforce","ggforce","C:/Users/Carolina/AppData/Local/R/win-library/4.2","0.4.1",NA,"ggplot2 (>= 3.3.6), R (>= 3.3.0)","Rcpp (>= 0.12.2), grid, scales, MASS, tweenr (>= 0.1.5),
gtable, rlang, polyclip, stats, grDevices, tidyselect, withr,
utils, lifecycle, cli, vctrs, systemfonts","Rcpp, RcppEigen","sessioninfo, concaveman, deldir, latex2exp, reshape2, units
(>= 0.4-6), covr",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.2.3"
"ggfun","ggfun","C:/Users/Carolina/AppData/Local/R/win-library/4.2","0.0.9",NA,NA,"ggplot2, grid, rlang, utils",NA,"ggplotify, knitr, rmarkdown, prettydoc, tidyr, ggnewscale",NA,"Artistic-2.0",NA,NA,NA,NA,"no","4.2.3"
"ggimage","ggimage","C:/Users/Carolina/AppData/Local/R/win-library/4.2","0.3.2",NA,"R (>= 3.4.0), ggplot2","ggfun, ggplotify, grid, jsonlite, magick, methods, scales,
tibble, tools, utils, withr",NA,"ape, ggtree, gridGraphics, httr, rsvg",NA,"Artistic-2.0",NA,NA,NA,NA,"no","4.2.3"
"gginference","gginference","C:/Users/Carolina/AppData/Local/R/win-library/4.2","0.1.3",NA,"R (>= 3.5.0)","ggplot2, rlang, stats, utils",NA,"knitr, MASS, rmarkdown",NA,"GPL-2 | file LICENSE",NA,NA,NA,NA,"no","4.2.3"
"ggmap","ggmap","C:/Users/Carolina/AppData/Local/R/win-library/4.2","3.0.2",NA,"R (>= 3.1.0), ggplot2 (>= 2.2.0)","RgoogleMaps, png, plyr, jpeg, digest, scales, dplyr, bitops,
grid, glue, httr, stringr, purrr, magrittr, tibble, tidyr,
rlang, cli",NA,"MASS, hexbin, testthat",NA,"GPL-2",NA,NA,NA,NA,"no","4.2.3"
"ggpattern","ggpattern","C:/Users/Carolina/AppData/Local/R/win-library/4.2","1.0.1",NA,NA,"ggplot2 (>= 3.4.0), glue, grid, gridpattern (>= 1.0.2), rlang,
scales,",NA,"ambient, dplyr, gganimate, knitr, magick, mapproj, maps, png,
ragg (>= 1.2.0), readr, rmarkdown, sf (>= 0.7-3), testthat (>=
2.1.0), vdiffr",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.2.3"
"ggplot2","ggplot2","C:/Users/Carolina/AppData/Local/R/win-library/4.2","3.4.2",NA,"R (>= 3.3)","cli, glue, grDevices, grid, gtable (>= 0.1.1), isoband,
lifecycle (> 1.0.1), MASS, mgcv, rlang (>= 1.1.0), scales (>=
1.2.0), stats, tibble, vctrs (>= 0.5.0), withr (>= 2.5.0)",NA,"covr, dplyr, ggplot2movies, hexbin, Hmisc, knitr, lattice,
mapproj, maps, maptools, multcomp, munsell, nlme, profvis,
quantreg, ragg, RColorBrewer, rgeos, rmarkdown, rpart, sf (>=
0.7-3), svglite (>= 1.2.0.9001), testthat (>= 3.1.2), vdiffr
(>= 1.0.0), xml2","sp","MIT + file LICENSE",NA,NA,NA,NA,"no","4.2.3"
"ggplotify","ggplotify","C:/Users/Carolina/AppData/Local/R/win-library/4.2","0.1.0",NA,"R (>= 3.4.0)","ggplot2, graphics, grDevices, grid, gridGraphics, yulab.utils",NA,"aplot, colorspace, cowplot, ggimage, knitr, rmarkdown,
lattice, prettydoc, vcd, utils",NA,"Artistic-2.0",NA,NA,NA,NA,"no","4.2.3"
"ggpmisc","ggpmisc","C:/Users/Carolina/AppData/Local/R/win-library/4.2","0.5.2",NA,"R (>= 4.0.0), ggpp (>= 0.4.5)","grid, stats, ggplot2 (>= 3.4.0), scales (>= 1.2.0), rlang (>=
1.0.0), generics (>= 0.1.2), MASS (>= 7.3-51.6), confintr (>=
0.1.2), polynom (>= 1.4-0), quantreg (>= 5.93), lmodel2 (>=
1.7-3), splus2R (>= 1.3-3), tibble (>= 3.1.5), plyr (>= 1.8.6),
dplyr (>= 1.0.6), lubridate (>= 1.7.10)",NA,"knitr (>= 1.39), rmarkdown (>= 2.14), ggrepel (>= 0.9.1),
broom (>= 0.8.0), broom.mixed (>= 0.2.9.4), nlme (>= 3.1-152),
gginnards (>= 0.1.0-1)",NA,"GPL (>= 2)",NA,NA,NA,NA,"no","4.2.3"
"ggpp","ggpp","C:/Users/Carolina/AppData/Local/R/win-library/4.2","0.5.2",NA,"R (>= 4.0.0), ggplot2 (>= 3.3.6)","stats, grid, grDevices, rlang (>= 1.0.6), magrittr (>= 2.0.1),
glue (>= 1.6.0), gridExtra (>= 2.3), scales (>= 1.2.0), tibble
(>= 3.1.8), dplyr (>= 1.1.0), xts (>= 0.13.0), zoo (>= 1.8-11),
MASS (>= 7.3-58), polynom (>= 1.4-0), lubridate (>= 1.9.0),
stringr (>= 1.4.0)",NA,"knitr (>= 1.40), rmarkdown (>= 2.20), ggrepel (>= 0.9.2),
gginnards(>= 0.1.1), magick (>= 2.7.3), testthat (>= 3.1.5),
vdiffr (>= 1.0.5)",NA,"GPL (>= 2)",NA,NA,NA,NA,"no","4.2.3"
"ggpubr","ggpubr","C:/Users/Carolina/AppData/Local/R/win-library/4.2","0.6.0",NA,"R (>= 3.1.0), ggplot2 (>= 3.4.0)","ggrepel (>= 0.9.2), grid, ggsci, stats, utils, tidyr (>=
1.3.0), purrr, dplyr (>= 0.7.1), cowplot (>= 1.1.1), ggsignif,
scales, gridExtra, glue, polynom, rlang (>= 0.4.6), rstatix (>=
0.7.2), tibble, magrittr",NA,"grDevices, knitr, RColorBrewer, gtable, testthat",NA,"GPL (>= 2)",NA,NA,NA,NA,"no","4.2.3"
"ggraph","ggraph","C:/Users/Carolina/AppData/Local/R/win-library/4.2","2.1.0",NA,"R (>= 2.10), ggplot2 (>= 3.0.0)","Rcpp (>= 0.12.2), dplyr, ggforce (>= 0.3.1), grid, igraph (>=
1.0.0), scales, MASS, digest, gtable, ggrepel, utils, stats,
viridis, rlang, tidygraph, graphlayouts (>= 0.5.0), withr, cli,
vctrs, lifecycle","Rcpp","network, knitr, rmarkdown, purrr, tibble, seriation, deldir,
gganimate, covr",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.2.3"
"ggrepel","ggrepel","C:/Users/Carolina/AppData/Local/R/win-library/4.2","0.9.3",NA,"R (>= 3.0.0), ggplot2 (>= 2.2.0)","grid, Rcpp, rlang (>= 0.3.0), scales (>= 0.5.0), withr (>=
2.5.0)","Rcpp","knitr, rmarkdown, testthat, svglite, vdiffr, gridExtra,
devtools, prettydoc, ggbeeswarm, dplyr, magrittr, readr,
stringr",NA,"GPL-3 | file LICENSE",NA,NA,NA,NA,"yes","4.2.3"
"ggridges","ggridges","C:/Users/Carolina/AppData/Local/R/win-library/4.2","0.5.4",NA,"R (>= 3.2)","ggplot2 (>= 3.0.0), grid (>= 3.0.0), scales (>= 0.4.1), withr
(>= 2.1.1)",NA,"covr, dplyr, patchwork, ggplot2movies, forcats, knitr,
rmarkdown, testthat, vdiffr",NA,"GPL-2 | file LICENSE",NA,NA,NA,NA,"no","4.2.3"
"ggsci","ggsci","C:/Users/Carolina/AppData/Local/R/win-library/4.2","3.0.0",NA,"R (>= 3.5.0)","ggplot2 (>= 2.0.0), grDevices, scales",NA,"gridExtra, knitr, ragg, reshape2, rmarkdown",NA,"GPL (>= 3)",NA,NA,NA,NA,"no","4.2.3"
"ggsignif","ggsignif","C:/Users/Carolina/AppData/Local/R/win-library/4.2","0.6.4",NA,NA,"ggplot2 (>= 3.3.5)",NA,"knitr, rmarkdown, testthat, vdiffr (>= 1.0.2)",NA,"GPL-3 | file LICENSE",NA,NA,NA,NA,"no","4.2.3"
"ggstance","ggstance","C:/Users/Carolina/AppData/Local/R/win-library/4.2","0.3.6",NA,"R (>= 3.6.0)","cli (>= 3.4.1), ggplot2 (>= 3.4.0), plyr, rlang, withr (>=
2.0.0)",NA,"covr, Hmisc, testthat, vdiffr (>= 1.0.4)",NA,"GPL-3",NA,NA,NA,NA,"no","4.2.3"
"ggtext","ggtext","C:/Users/Carolina/AppData/Local/R/win-library/4.2","0.1.2",NA,"R (>= 3.5)","ggplot2 (>= 3.3.0), grid, gridtext, rlang, scales",NA,"cowplot, dplyr, glue, knitr, rmarkdown, testthat, vdiffr",NA,"GPL-2",NA,NA,NA,NA,"no","4.2.3"
"ggThemeAssist","ggThemeAssist","C:/Users/Carolina/AppData/Local/R/win-library/4.2","0.1.5",NA,"R (>= 3.0.0)","shiny (>= 0.13), miniUI (>= 0.1.1), rstudioapi (>= 0.5),
ggplot2, formatR",NA,"extrafont",NA,"GPL-3",NA,NA,NA,NA,"no","4.2.3"
"ggthemes","ggthemes","C:/Users/Carolina/AppData/Local/R/win-library/4.2","4.2.4",NA,"R (>= 3.3.0)","ggplot2 (>= 3.0.0), graphics, grid, methods, purrr, scales,
stringr, tibble",NA,"dplyr, covr, extrafont, glue, knitr, lattice, lintr, maps,
mapproj, pander, rlang, rmarkdown, spelling, testthat, tidyr,
vdiffr, withr",NA,"GPL-2",NA,NA,NA,NA,"no","4.2.3"
"ggwordcloud","ggwordcloud","C:/Users/Carolina/AppData/Local/R/win-library/4.2","0.5.0",NA,"R (>= 2.10), ggplot2 (>= 3.0.0)","grid, Rcpp, scales (>= 1.0.0), colorspace, png","Rcpp","testthat (>= 2.0.0), knitr, rmarkdown, ggrepel, wordcloud,
wordcloud2, covr, dplyr, tidyr",NA,"GPL-3",NA,NA,NA,NA,"yes","4.2.3"
"gh","gh","C:/Users/Carolina/AppData/Local/R/win-library/4.2","1.4.0",NA,"R (>= 3.4)","cli (>= 3.0.1), gitcreds, httr2, ini, jsonlite, rlang (>=
1.0.0)",NA,"covr, knitr, mockery, rmarkdown, rprojroot, spelling,
testthat (>= 3.0.0), withr",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.2.3"
"gifski","gifski","C:/Users/Carolina/AppData/Local/R/win-library/4.2","1.6.6-1",NA,NA,NA,NA,"ggplot2, gapminder",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.2.3"
"git2r","git2r","C:/Users/Carolina/AppData/Local/R/win-library/4.2","0.31.0",NA,"R (>= 3.4)","graphics, utils",NA,"getPass",NA,"GPL-2",NA,NA,NA,NA,"yes","4.2.3"
"gitcreds","gitcreds","C:/Users/Carolina/AppData/Local/R/win-library/4.2","0.1.2",NA,"R (>= 3.4)",NA,NA,"codetools, covr, knitr, mockery, oskeyring, rmarkdown,
testthat (>= 3.0.0), withr",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.2.3"
"gld","gld","C:/Users/Carolina/AppData/Local/R/win-library/4.2","2.6.6",NA,NA,"stats, graphics, e1071, lmom",NA,"",NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.2.3"
"glmnet","glmnet","C:/Users/Carolina/AppData/Local/R/win-library/4.2","4.1-7",NA,"R (>= 3.6.0), Matrix (>= 1.0-6)","methods, utils, foreach, shape, survival, Rcpp","RcppEigen, Rcpp","knitr, lars, testthat, xfun, rmarkdown",NA,"GPL-2",NA,NA,NA,NA,"yes","4.2.3"
"globals","globals","C:/Users/Carolina/AppData/Local/R/win-library/4.2","0.16.2",NA,"R (>= 3.1.2)","codetools",NA,NA,NA,"LGPL (>= 2.1)",NA,NA,NA,NA,"no","4.2.2"
"glue","glue","C:/Users/Carolina/AppData/Local/R/win-library/4.2","1.6.2",NA,"R (>= 3.4)","methods",NA,"covr, crayon, DBI, dplyr, forcats, ggplot2, knitr, magrittr,
microbenchmark, R.utils, rmarkdown, rprintf, RSQLite, stringr,
testthat (>= 3.0.0), vctrs (>= 0.3.0), waldo (>= 0.3.0), withr",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.2.3"
"gmodels","gmodels","C:/Users/Carolina/AppData/Local/R/win-library/4.2","2.18.1.1",NA,"R (>= 1.9.0)","MASS, gdata",NA,"gplots, gtools, Matrix, nlme, lme4 (>= 0.999999-0)",NA,"GPL-2",NA,NA,NA,NA,"no","4.2.3"
"goftest","goftest","C:/Users/Carolina/AppData/Local/R/win-library/4.2","1.2-3",NA,"R (>= 3.3)","stats",NA,NA,NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.2.0"
"googledrive","googledrive","C:/Users/Carolina/AppData/Local/R/win-library/4.2","2.1.0",NA,"R (>= 3.5)","cli (>= 3.0.0), gargle (>= 1.3.0), glue (>= 1.4.2), httr,
jsonlite, lifecycle, magrittr, pillar, purrr (>= 1.0.1), rlang
(>= 1.0.2), tibble (>= 2.0.0), utils, uuid, vctrs (>= 0.3.0),
withr",NA,"covr, curl, downlit, dplyr (>= 1.0.0), knitr, mockr,
rmarkdown, roxygen2, sodium, spelling, testthat (>= 3.1.3)",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.2.3"
"googlesheets4","googlesheets4","C:/Users/Carolina/AppData/Local/R/win-library/4.2","1.1.0",NA,"R (>= 3.5)","cellranger, cli (>= 3.0.0), curl, gargle (>= 1.3.0), glue (>=
1.3.0), googledrive (>= 2.1.0), httr, ids, lifecycle, magrittr,
methods, purrr, rematch2, rlang (>= 1.0.2), tibble (>= 2.1.1),
utils, vctrs (>= 0.2.3), withr",NA,"covr, readr, rmarkdown, sodium, spelling, testthat (>= 3.1.7)",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.2.3"
"gower","gower","C:/Users/Carolina/AppData/Local/R/win-library/4.2","1.0.1",NA,NA,NA,NA,"tinytest (>= 0.9.3),",NA,"GPL-3",NA,NA,NA,NA,"yes","4.2.2"
"GPfit","GPfit","C:/Users/Carolina/AppData/Local/R/win-library/4.2","1.0-8",NA,NA,"lhs (>= 0.5), lattice (>= 0.18-8)",NA,"testthat",NA,"GPL-2",NA,NA,NA,NA,"no","4.2.3"
"gplots","gplots","C:/Users/Carolina/AppData/Local/R/win-library/4.2","3.1.3",NA,"R (>= 3.0)","gtools, stats, caTools, KernSmooth, methods",NA,"grid, MASS, knitr, r2d2",NA,"GPL-2",NA,NA,NA,NA,"no","4.2.3"
"graphlayouts","graphlayouts","C:/Users/Carolina/AppData/Local/R/win-library/4.2","0.8.4",NA,"R (>= 3.2.0)","igraph, Rcpp","Rcpp, RcppArmadillo","oaqc, testthat, ggraph, ggplot2, knitr, rmarkdown, uwot",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.2.3"
"gridBase","gridBase","C:/Users/Carolina/AppData/Local/R/win-library/4.2","0.4-7",NA,"R (>= 2.3.0)","graphics, grid",NA,"lattice",NA,"GPL",NA,NA,NA,NA,"no","4.2.3"
"gridExtra","gridExtra","C:/Users/Carolina/AppData/Local/R/win-library/4.2","2.3",NA,NA,"gtable, grid, grDevices, graphics, utils",NA,"ggplot2, egg, lattice, knitr, testthat",NA,"GPL (>= 2)",NA,NA,NA,NA,"no","4.2.3"
"gridGraphics","gridGraphics","C:/Users/Carolina/AppData/Local/R/win-library/4.2","0.5-1",NA,"grid, graphics","grDevices",NA,"magick (>= 1.3), pdftools (>= 1.6)",NA,"GPL (>= 2)",NA,NA,NA,NA,"no","4.2.3"
"gridpattern","gridpattern","C:/Users/Carolina/AppData/Local/R/win-library/4.2","1.0.2",NA,"R (>= 3.4.0)","glue, grDevices, grid, memoise, png, rlang, sf, utils",NA,"ambient, knitr, magick, ragg (>= 1.2.0), rmarkdown, svglite
(>= 2.1.0), testthat, vdiffr",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.2.3"
"gridtext","gridtext","C:/Users/Carolina/AppData/Local/R/win-library/4.2","0.1.5",NA,"R (>= 3.5)","curl, grid, grDevices, markdown, rlang, Rcpp, png, jpeg,
stringr, xml2","Rcpp","covr, knitr, rmarkdown, testthat, vdiffr",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.2.3"
"grImport2","grImport2","C:/Users/Carolina/AppData/Local/R/win-library/4.2","0.2-0",NA,"R (>= 2.12.0)","methods, grDevices, grid, XML, png, jpeg, base64enc",NA,"gridSVG, rsvg",NA,"GPL (>= 2)",NA,NA,NA,NA,"no","4.2.3"
"gtable","gtable","C:/Users/Carolina/AppData/Local/R/win-library/4.2","0.3.3",NA,"R (>= 3.5)","cli, glue, grid, lifecycle, rlang (>= 1.1.0)",NA,"covr, ggplot2, knitr, profvis, rmarkdown, testthat (>= 3.0.0)",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.2.3"
"gtools","gtools","C:/Users/Carolina/AppData/Local/R/win-library/4.2","3.9.4",NA,"methods, stats, utils",NA,NA,"car, gplots, knitr, rstudioapi, SGP, taxize",NA,"GPL-2",NA,NA,NA,NA,"yes","4.2.3"
"gutenbergr","gutenbergr","C:/Users/Carolina/AppData/Local/R/win-library/4.2","0.2.3",NA,"R (>= 2.10)","cli, dplyr, glue, lazyeval, magrittr, purrr, readr, stringr,
urltools",NA,"curl, ggplot2, knitr, rmarkdown, testthat, tidyr, tidytext",NA,"GPL-2",NA,NA,NA,NA,"no","4.2.3"
"hardhat","hardhat","C:/Users/Carolina/AppData/Local/R/win-library/4.2","1.3.0",NA,"R (>= 3.5.0)","cli (>= 3.6.0), glue (>= 1.6.2), rlang (>= 1.1.0), tibble (>=
3.2.1), vctrs (>= 0.6.0)",NA,"covr, crayon, devtools, knitr, Matrix, modeldata (>= 0.0.2),
recipes (>= 1.0.5), rmarkdown (>= 2.3), roxygen2, testthat (>=
3.0.0), usethis (>= 2.1.5)",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.2.3"
"haven","haven","C:/Users/Carolina/AppData/Local/R/win-library/4.2","2.5.2",NA,"R (>= 3.4)","cli (>= 3.0.0), forcats (>= 0.2.0), hms, lifecycle, methods,
readr (>= 0.1.0), rlang (>= 0.4.0), tibble, tidyselect, vctrs
(>= 0.3.0)","cpp11","covr, crayon, fs, knitr, pillar (>= 1.4.0), rmarkdown,
testthat (>= 3.0.0), utf8",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.2.3"
"hcandersenr","hcandersenr","C:/Users/Carolina/AppData/Local/R/win-library/4.2","0.2.0",NA,"R (>= 3.0.0)",NA,NA,NA,NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.2.0"
"HDInterval","HDInterval","C:/Users/Carolina/AppData/Local/R/win-library/4.2","0.2.4",NA,NA,NA,NA,"coda",NA,"GPL-3",NA,NA,NA,NA,"no","4.2.3"
"here","here","C:/Users/Carolina/AppData/Local/R/win-library/4.2","1.0.1",NA,NA,"rprojroot (>= 2.0.2)",NA,"conflicted, covr, fs, knitr, palmerpenguins, plyr, readr,
rlang, rmarkdown, testthat, uuid, withr",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.2.3"
"hexView","hexView","C:/Users/Carolina/AppData/Local/R/win-library/4.2","0.3-4",NA,"R (>= 1.8.0)",NA,NA,NA,NA,"GPL-2",NA,NA,NA,NA,"no","4.2.0"
"highr","highr","C:/Users/Carolina/AppData/Local/R/win-library/4.2","0.10",NA,"R (>= 3.3.0)","xfun (>= 0.18)",NA,"knitr, markdown, testit",NA,"GPL",NA,NA,NA,NA,"no","4.2.3"
"Hmisc","Hmisc","C:/Users/Carolina/AppData/Local/R/win-library/4.2","5.0-1",NA,NA,"methods, ggplot2, cluster, rpart, nnet, foreign, gtable, grid,
gridExtra, data.table, htmlTable (>= 1.11.0), viridis,
htmltools, base64enc, colorspace, rmarkdown, knitr, Formula",NA,"survival, qreport, acepack, chron, rms, mice, rstudioapi,
tables, plotly (>= 4.5.6), rlang, plyr, VGAM, leaps, pcaPP,
digest, parallel, polspline, abind, kableExtra, rio, lattice,
latticeExtra",NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.2.3"
"hms","hms","C:/Users/Carolina/AppData/Local/R/win-library/4.2","1.1.3",NA,NA,"lifecycle, methods, pkgconfig, rlang (>= 1.0.2), vctrs (>=
0.3.8)",NA,"crayon, lubridate, pillar (>= 1.1.0), testthat (>= 3.0.0)",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.2.3"
"hrbrthemes","hrbrthemes","C:/Users/Carolina/AppData/Local/R/win-library/4.2","0.8.0",NA,"R (>= 3.4.0)","ggplot2 (>= 3.3.0), grDevices, grid, scales, extrafont, knitr,
rmarkdown, htmltools, tools, magrittr, gdtools",NA,"testthat, dplyr, gridExtra, hunspell, stringi, gcookbook,
clipr, vdiffr, svglite",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.2.3"
"htmlTable","htmlTable","C:/Users/Carolina/AppData/Local/R/win-library/4.2","2.4.1",NA,NA,"stringr, knitr (>= 1.6), magrittr (>= 1.5), methods,
checkmate, htmlwidgets, htmltools, rstudioapi (>= 0.6)",NA,"testthat, XML, xml2, Hmisc, reshape, rmarkdown, chron,
lubridate, tibble, purrr, tidyselect, glue, rlang, tidyr (>=
0.7.2), dplyr (>= 0.7.4)",NA,"GPL (>= 3)",NA,NA,NA,NA,"no","4.2.3"
"htmltools","htmltools","C:/Users/Carolina/AppData/Local/R/win-library/4.2","0.5.4",NA,"R (>= 2.14.1)","utils, digest, grDevices, base64enc, rlang (>= 0.4.10),
fastmap (>= 1.1.0), ellipsis",NA,"markdown, testthat, withr, Cairo, ragg, shiny","knitr","GPL (>= 2)",NA,NA,NA,NA,"yes","4.2.2"
"htmlwidgets","htmlwidgets","C:/Users/Carolina/AppData/Local/R/win-library/4.2","1.6.2",NA,NA,"grDevices, htmltools (>= 0.5.4), jsonlite (>= 0.9.16), yaml,
knitr (>= 1.8), rmarkdown",NA,"testthat","shiny (>= 1.1)","MIT + file LICENSE",NA,NA,NA,NA,"no","4.2.3"
"httpcode","httpcode","C:/Users/Carolina/AppData/Local/R/win-library/4.2","0.3.0",NA,NA,NA,NA,"testthat",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.2.3"
"httpgd","httpgd","C:/Users/Carolina/AppData/Local/R/win-library/4.2","1.3.1",NA,"R (>= 3.2.0)","later (>= 1.1.0), systemfonts (>= 1.0.0)","cpp11 (>= 0.2.4), BH (>= 1.75.0), later, systemfonts","testthat, xml2 (>= 1.0.0), fontquiver (>= 0.2.0), knitr,
rmarkdown",NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.2.3"
"httpuv","httpuv","C:/Users/Carolina/AppData/Local/R/win-library/4.2","1.6.9",NA,"R (>= 2.15.1)","Rcpp (>= 1.0.7), utils, R6, promises, later (>= 0.8.0)","Rcpp, later","testthat, callr, curl, websocket",NA,"GPL (>= 2) | file LICENSE",NA,NA,NA,NA,"yes","4.2.3"
"httr","httr","C:/Users/Carolina/AppData/Local/R/win-library/4.2","1.4.5",NA,"R (>= 3.5)","curl (>= 3.0.0), jsonlite, mime, openssl (>= 0.8), R6",NA,"covr, httpuv, jpeg, knitr, png, readr, rmarkdown, testthat
(>= 0.8.0), xml2",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.2.3"
"httr2","httr2","C:/Users/Carolina/AppData/Local/R/win-library/4.2","0.2.2",NA,"R (>= 3.4)","cli (>= 3.0.0), curl, glue, magrittr, openssl, R6, rappdirs,
rlang (>= 1.0.0), withr",NA,"askpass, bench, clipr, covr, docopt, httpuv, jose, jsonlite,
knitr, purrr, rmarkdown, testthat (>= 3.0.0), tibble, webfakes,
xml2",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.2.3"
"hunspell","hunspell","C:/Users/Carolina/AppData/Local/R/win-library/4.2","3.0.2",NA,"R (>= 3.0.2)","Rcpp, digest","Rcpp (>= 0.12.12)","spelling, testthat, pdftools, janeaustenr, wordcloud2, knitr,
stopwords, rmarkdown",NA,"GPL-2 | LGPL-2.1 | MPL-1.1",NA,NA,NA,NA,"yes","4.2.3"
"ids","ids","C:/Users/Carolina/AppData/Local/R/win-library/4.2","1.0.1",NA,NA,"openssl, uuid",NA,"knitr, rcorpora, rmarkdown, testthat",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.2.3"
"igraph","igraph","C:/Users/Carolina/AppData/Local/R/win-library/4.2","1.4.1",NA,"methods","graphics, grDevices, magrittr, Matrix, pkgconfig (>= 2.0.0),
rlang, stats, utils",NA,"ape, digest, graph, igraphdata, rgl, scales, stats4, tcltk,
testthat, withr, vdiffr, knitr, rmarkdown",NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.2.3"
"igraphdata","igraphdata","C:/Users/Carolina/AppData/Local/R/win-library/4.2","1.0.1",NA,"R (>= 2.10)",NA,NA,"igraph (>= 1.0.0)",NA,"CC BY-SA 4.0 + file LICENSE",NA,NA,NA,NA,"no","4.2.3"
"imguR","imguR","C:/Users/Carolina/AppData/Local/R/win-library/4.2","1.0.3",NA,NA,"httr, png, jpeg, tools",NA,NA,NA,"GPL-3",NA,NA,NA,NA,"no","4.2.3"
"infer","infer","C:/Users/Carolina/AppData/Local/R/win-library/4.2","1.0.4",NA,"R (>= 3.5.0)","dplyr (>= 0.7.0), ggplot2, glue (>= 1.3.0), grDevices,
magrittr, methods, purrr, rlang (>= 0.2.0), tibble, broom,
tidyr, generics, patchwork",NA,"covr, devtools (>= 1.12.0), fs, knitr, nycflights13,
rmarkdown, stringr, testthat, vdiffr (>= 1.0.0), parsnip",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.2.3"
"influenceR","influenceR","C:/Users/Carolina/AppData/Local/R/win-library/4.2","0.1.0.1",NA,"R (>= 3.2.0)","igraph (>= 1.0.1), Matrix (>= 1.1-4), methods, utils",NA,"testthat",NA,"GPL-2",NA,NA,NA,NA,"yes","4.2.3"
"ini","ini","C:/Users/Carolina/AppData/Local/R/win-library/4.2","0.3.1",NA,NA,NA,NA,"testthat",NA,"GPL-3",NA,NA,NA,NA,"no","4.2.3"
"insight","insight","C:/Users/Carolina/AppData/Local/R/win-library/4.2","0.19.1",NA,"R (>= 3.5)","methods, stats, utils",NA,"AER, afex, aod, BayesFactor, bayestestR, bbmle, bdsmatrix,
betareg, bife, biglm, blavaan, blme, boot, brms, censReg, cgam,
clubSandwich, coxme, cplm, crch, datawizard, effectsize,
emmeans, epiR, estimatr, feisr, fixest, fungible, gam, gamlss,
gamm4, gbm, gee, geepack, geoR, GLMMadaptive, glmmTMB, gmnl,
gt, httr, ivreg, JM, knitr, lavaan, lavaSearch2, lfe, lme4,
lmerTest, lmtest, logistf, logitr, MASS, marginaleffects,
Matrix, mclogit, mclust, MCMCglmm, merTools, metaBMA, metafor,
metaplus, mgcv, mice, mlogit, mhurdle, mmrm, multgee, nlme,
nnet, nonnest2, ordinal, panelr, parameters, parsnip, pbkrtest,
performance, plm, poorman, pscl, psych, quantreg, rmarkdown,
rms, robustbase, robustlmm, rstanarm (>= 2.21.1), rstantools,
rstudioapi, sandwich, speedglm, splines, statmod, survey,
survival, testthat, truncreg, tweedie, TMB, VGAM",NA,"GPL-3",NA,NA,NA,NA,"no","4.2.3"
"interp","interp","C:/Users/Carolina/AppData/Local/R/win-library/4.2","1.1-4",NA,"R (>= 3.5.0)","Rcpp (>= 0.12.9), deldir","Rcpp, RcppEigen","sp, Deriv, Ryacas, ggplot2, gridExtra, lattice, stringi,
stringr, scatterplot3d, MASS","RcppEigen","GPL (>= 2)",NA,NA,NA,NA,"yes","4.2.3"
